# pixel_no sector_no crate_no pdp_addr pdp_chan pdp_gchan fadc_addr fadc_chan trigger_addr three_pixel_patch four_pixel_patch trace_idx has_pixel ring pixel_x pixel_y pixel_w pixel_q pixel_r pdp_board_rev pixel_dynodes pixel_hv_offset pixel_hv_setpoint pixel_gain_exponent pixel_preamp_gain 
0x312 0 2 0x31 2 350 0x31 14 0x30 7 0 350 1 21 -750.000000 577.350269 50.000000 -8.000000 21.000000 0 0 0.000000 0.000000 0.000000 0
0x313 0 2 0x31 0 348 0x31 15 0x30 6 0 351 1 20 -725.000000 534.048999 50.000000 -8.000000 20.000000 0 0 0.000000 0.000000 0.000000 0
0x314 0 2 0x31 7 355 0x31 16 0x30 3 1 352 1 23 -875.000000 534.048999 50.000000 -11.000000 23.000000 0 0 0.000000 0.000000 0.000000 0
0x315 0 2 0x31 5 353 0x31 17 0x30 3 1 353 1 22 -850.000000 490.747729 50.000000 -11.000000 22.000000 0 0 0.000000 0.000000 0.000000 0
0x316 0 2 0x31 6 354 0x31 18 0x30 3 1 354 1 22 -825.000000 534.048999 50.000000 -10.000000 22.000000 0 0 0.000000 0.000000 0.000000 0
0x317 0 2 0x31 4 352 0x31 19 0x30 2 1 355 1 21 -800.000000 490.747729 50.000000 -10.000000 21.000000 0 0 0.000000 0.000000 0.000000 0
0x318 0 2 0x31 11 359 0x31 20 0x30 6 2 356 1 19 -675.000000 534.048999 50.000000 -7.000000 19.000000 0 0 0.000000 0.000000 0.000000 0
0x319 0 2 0x31 9 357 0x31 21 0x30 2 2 357 1 20 -775.000000 447.446459 50.000000 -10.000000 20.000000 0 0 0.000000 0.000000 0.000000 0
0x31a 0 2 0x31 10 358 0x31 22 0x30 6 2 358 1 19 -700.000000 490.747729 50.000000 -8.000000 19.000000 0 0 0.000000 0.000000 0.000000 0
0x31b 0 2 0x31 8 356 0x31 23 0x30 2 2 359 1 20 -750.000000 490.747729 50.000000 -9.000000 20.000000 0 0 0.000000 0.000000 0.000000 0
0x320 0 2 0x32 3 363 0x32 0 0x30 5 0 360 1 16 -500.000000 577.350269 50.000000 -3.000000 16.000000 0 0 0.000000 0.000000 0.000000 0
0x321 0 2 0x32 1 361 0x32 1 0x30 5 0 361 1 15 -475.000000 534.048999 50.000000 -3.000000 15.000000 0 0 0.000000 0.000000 0.000000 0
0x322 0 2 0x32 2 362 0x32 2 0x30 5 0 362 1 15 -450.000000 577.350269 50.000000 -2.000000 15.000000 0 0 0.000000 0.000000 0.000000 0
0x323 0 2 0x32 0 360 0x32 3 0x30 4 0 363 1 14 -425.000000 534.048999 50.000000 -2.000000 14.000000 0 0 0.000000 0.000000 0.000000 0
0x324 0 2 0x32 7 367 0x32 4 0x30 1 1 364 1 17 -575.000000 534.048999 50.000000 -5.000000 17.000000 0 0 0.000000 0.000000 0.000000 0
0x325 0 2 0x32 5 365 0x32 5 0x30 1 1 365 1 16 -550.000000 490.747729 50.000000 -5.000000 16.000000 0 0 0.000000 0.000000 0.000000 0
0x326 0 2 0x32 6 366 0x32 6 0x30 1 1 366 1 16 -525.000000 534.048999 50.000000 -4.000000 16.000000 0 0 0.000000 0.000000 0.000000 0
0x327 0 2 0x32 4 364 0x32 7 0x30 0 1 367 1 15 -500.000000 490.747729 50.000000 -4.000000 15.000000 0 0 0.000000 0.000000 0.000000 0
0x328 0 2 0x32 11 371 0x32 8 0x30 4 2 368 1 13 -375.000000 534.048999 50.000000 -1.000000 13.000000 0 0 0.000000 0.000000 0.000000 0
0x329 0 2 0x32 9 369 0x32 9 0x30 0 2 369 1 14 -475.000000 447.446459 50.000000 -4.000000 14.000000 0 0 0.000000 0.000000 0.000000 0
0x32a 0 2 0x32 10 370 0x32 10 0x30 4 2 370 1 13 -400.000000 490.747729 50.000000 -2.000000 13.000000 0 0 0.000000 0.000000 0.000000 0
0x32b 0 2 0x32 8 368 0x32 11 0x30 0 2 371 1 14 -450.000000 490.747729 50.000000 -3.000000 14.000000 0 0 0.000000 0.000000 0.000000 0
0x330 0 2 0x33 3 375 0x32 12 0x30 7 0 372 1 20 -650.000000 663.952810 50.000000 -5.000000 20.000000 0 0 0.000000 0.000000 0.000000 0
0x331 0 2 0x33 1 373 0x32 13 0x30 7 0 373 1 19 -625.000000 620.651539 50.000000 -5.000000 19.000000 0 0 0.000000 0.000000 0.000000 0
0x332 0 2 0x33 2 374 0x32 14 0x30 7 0 374 1 19 -600.000000 663.952810 50.000000 -4.000000 19.000000 0 0 0.000000 0.000000 0.000000 0
0x333 0 2 0x33 0 372 0x32 15 0x30 6 0 375 1 18 -575.000000 620.651539 50.000000 -4.000000 18.000000 0 0 0.000000 0.000000 0.000000 0
0x334 0 2 0x33 7 379 0x32 16 0x30 3 1 376 1 21 -725.000000 620.651539 50.000000 -7.000000 21.000000 0 0 0.000000 0.000000 0.000000 0
0x335 0 2 0x33 5 377 0x32 17 0x30 3 1 377 1 20 -700.000000 577.350269 50.000000 -7.000000 20.000000 0 0 0.000000 0.000000 0.000000 0
0x336 0 2 0x33 6 378 0x32 18 0x30 3 1 378 1 20 -675.000000 620.651539 50.000000 -6.000000 20.000000 0 0 0.000000 0.000000 0.000000 0
0x337 0 2 0x33 4 376 0x32 19 0x30 2 1 379 1 19 -650.000000 577.350269 50.000000 -6.000000 19.000000 0 0 0.000000 0.000000 0.000000 0
0x338 0 2 0x33 11 383 0x32 20 0x30 6 2 380 1 17 -525.000000 620.651539 50.000000 -3.000000 17.000000 0 0 0.000000 0.000000 0.000000 0
0x339 0 2 0x33 9 381 0x32 21 0x30 2 2 381 1 18 -625.000000 534.048999 50.000000 -6.000000 18.000000 0 0 0.000000 0.000000 0.000000 0
0x33a 0 2 0x33 10 382 0x32 22 0x30 6 2 382 1 17 -550.000000 577.350269 50.000000 -4.000000 17.000000 0 0 0.000000 0.000000 0.000000 0
0x33b 0 2 0x33 8 380 0x32 23 0x30 2 2 383 1 18 -600.000000 577.350269 50.000000 -5.000000 18.000000 0 0 0.000000 0.000000 0.000000 0
0x340 0 2 0x34 3 387 0x33 0 0x30 5 0 384 1 15 -350.000000 663.952810 50.000000 1.000000 14.000000 0 0 0.000000 0.000000 0.000000 0
0x341 0 2 0x34 1 385 0x33 1 0x30 5 0 385 1 14 -325.000000 620.651539 50.000000 1.000000 13.000000 0 0 0.000000 0.000000 0.000000 0
0x342 0 2 0x34 2 386 0x33 2 0x30 5 0 386 1 15 -300.000000 663.952810 50.000000 2.000000 13.000000 0 0 0.000000 0.000000 0.000000 0
0x343 0 2 0x34 0 384 0x33 3 0x30 4 0 387 1 14 -275.000000 620.651539 50.000000 2.000000 12.000000 0 0 0.000000 0.000000 0.000000 0
0x344 0 2 0x34 7 391 0x33 4 0x30 1 1 388 1 15 -425.000000 620.651539 50.000000 -1.000000 15.000000 0 0 0.000000 0.000000 0.000000 0
0x345 0 2 0x34 5 389 0x33 5 0x30 1 1 389 1 14 -400.000000 577.350269 50.000000 -1.000000 14.000000 0 0 0.000000 0.000000 0.000000 0
0x346 0 2 0x34 6 390 0x33 6 0x30 1 1 390 1 14 -375.000000 620.651539 50.000000 0.000000 14.000000 0 0 0.000000 0.000000 0.000000 0
0x347 0 2 0x34 4 388 0x33 7 0x30 0 1 391 1 13 -350.000000 577.350269 50.000000 0.000000 13.000000 0 0 0.000000 0.000000 0.000000 0
0x348 0 2 0x34 11 395 0x33 8 0x30 4 2 392 1 14 -225.000000 620.651539 50.000000 3.000000 11.000000 0 0 0.000000 0.000000 0.000000 0
0x349 0 2 0x34 9 393 0x33 9 0x30 0 2 393 1 12 -325.000000 534.048999 50.000000 0.000000 12.000000 0 0 0.000000 0.000000 0.000000 0
0x34a 0 2 0x34 10 394 0x33 10 0x30 4 2 394 1 13 -250.000000 577.350269 50.000000 2.000000 11.000000 0 0 0.000000 0.000000 0.000000 0
0x34b 0 2 0x34 8 392 0x33 11 0x30 0 2 395 1 13 -300.000000 577.350269 50.000000 1.000000 12.000000 0 0 0.000000 0.000000 0.000000 0
0x350 0 2 0x35 3 399 0x33 12 0x30 7 0 396 1 18 -500.000000 750.555350 50.000000 -1.000000 18.000000 0 0 0.000000 0.000000 0.000000 0
0x351 0 2 0x35 1 397 0x33 13 0x30 7 0 397 1 17 -475.000000 707.254080 50.000000 -1.000000 17.000000 0 0 0.000000 0.000000 0.000000 0
0x352 0 2 0x35 2 398 0x33 14 0x30 7 0 398 1 17 -450.000000 750.555350 50.000000 0.000000 17.000000 0 0 0.000000 0.000000 0.000000 0
0x353 0 2 0x35 0 396 0x33 15 0x30 6 0 399 1 16 -425.000000 707.254080 50.000000 0.000000 16.000000 0 0 0.000000 0.000000 0.000000 0
0x354 0 2 0x35 7 403 0x33 16 0x30 3 1 400 1 19 -575.000000 707.254080 50.000000 -3.000000 19.000000 0 0 0.000000 0.000000 0.000000 0
0x355 0 2 0x35 5 401 0x33 17 0x30 3 1 401 1 18 -550.000000 663.952810 50.000000 -3.000000 18.000000 0 0 0.000000 0.000000 0.000000 0
0x356 0 2 0x35 6 402 0x33 18 0x30 3 1 402 1 18 -525.000000 707.254080 50.000000 -2.000000 18.000000 0 0 0.000000 0.000000 0.000000 0
0x357 0 2 0x35 4 400 0x33 19 0x30 2 1 403 1 17 -500.000000 663.952810 50.000000 -2.000000 17.000000 0 0 0.000000 0.000000 0.000000 0
0x358 0 2 0x35 11 407 0x33 20 0x30 6 2 404 1 16 -375.000000 707.254080 50.000000 1.000000 15.000000 0 0 0.000000 0.000000 0.000000 0
0x359 0 2 0x35 9 405 0x33 21 0x30 2 2 405 1 16 -475.000000 620.651539 50.000000 -2.000000 16.000000 0 0 0.000000 0.000000 0.000000 0
0x35a 0 2 0x35 10 406 0x33 22 0x30 6 2 406 1 15 -400.000000 663.952810 50.000000 0.000000 15.000000 0 0 0.000000 0.000000 0.000000 0
0x35b 0 2 0x35 8 404 0x33 23 0x30 2 2 407 1 16 -450.000000 663.952810 50.000000 -1.000000 16.000000 0 0 0.000000 0.000000 0.000000 0
0x360 0 2 0x36 3 411 0x34 0 0x30 5 0 408 1 17 -200.000000 750.555350 50.000000 5.000000 12.000000 0 0 0.000000 0.000000 0.000000 0
0x361 0 2 0x36 1 409 0x34 1 0x30 5 0 409 1 16 -175.000000 707.254080 50.000000 5.000000 11.000000 0 0 0.000000 0.000000 0.000000 0
0x362 0 2 0x36 2 410 0x34 2 0x30 5 0 410 1 17 -150.000000 750.555350 50.000000 6.000000 11.000000 0 0 0.000000 0.000000 0.000000 0
0x363 0 2 0x36 0 408 0x34 3 0x30 4 0 411 1 16 -125.000000 707.254080 50.000000 6.000000 10.000000 0 0 0.000000 0.000000 0.000000 0
0x364 0 2 0x36 7 415 0x34 4 0x30 1 1 412 1 16 -275.000000 707.254080 50.000000 3.000000 13.000000 0 0 0.000000 0.000000 0.000000 0
0x365 0 2 0x36 5 413 0x34 5 0x30 1 1 413 1 15 -250.000000 663.952810 50.000000 3.000000 12.000000 0 0 0.000000 0.000000 0.000000 0
0x366 0 2 0x36 6 414 0x34 6 0x30 1 1 414 1 16 -225.000000 707.254080 50.000000 4.000000 12.000000 0 0 0.000000 0.000000 0.000000 0
0x367 0 2 0x36 4 412 0x34 7 0x30 0 1 415 1 15 -200.000000 663.952810 50.000000 4.000000 11.000000 0 0 0.000000 0.000000 0.000000 0
0x368 0 2 0x36 11 419 0x34 8 0x30 4 2 416 1 16 -75.000000 707.254080 50.000000 7.000000 9.000000 0 0 0.000000 0.000000 0.000000 0
0x369 0 2 0x36 9 417 0x34 9 0x30 0 2 417 1 14 -175.000000 620.651539 50.000000 4.000000 10.000000 0 0 0.000000 0.000000 0.000000 0
0x36a 0 2 0x36 10 418 0x34 10 0x30 4 2 418 1 15 -100.000000 663.952810 50.000000 6.000000 9.000000 0 0 0.000000 0.000000 0.000000 0
0x36b 0 2 0x36 8 416 0x34 11 0x30 0 2 419 1 15 -150.000000 663.952810 50.000000 5.000000 10.000000 0 0 0.000000 0.000000 0.000000 0
0x370 0 2 0x37 3 423 0x34 12 0x30 7 0 420 1 19 -350.000000 837.157890 50.000000 3.000000 16.000000 0 0 0.000000 0.000000 0.000000 0
0x371 0 2 0x37 1 421 0x34 13 0x30 7 0 421 1 18 -325.000000 793.856620 50.000000 3.000000 15.000000 0 0 0.000000 0.000000 0.000000 0
0x372 0 2 0x37 2 422 0x34 14 0x30 7 0 422 1 19 -300.000000 837.157890 50.000000 4.000000 15.000000 0 0 0.000000 0.000000 0.000000 0
0x373 0 2 0x37 0 420 0x34 15 0x30 6 0 423 1 18 -275.000000 793.856620 50.000000 4.000000 14.000000 0 0 0.000000 0.000000 0.000000 0
0x374 0 2 0x37 7 427 0x34 16 0x30 3 1 424 1 18 -425.000000 793.856620 50.000000 1.000000 17.000000 0 0 0.000000 0.000000 0.000000 0
0x375 0 2 0x37 5 425 0x34 17 0x30 3 1 425 1 17 -400.000000 750.555350 50.000000 1.000000 16.000000 0 0 0.000000 0.000000 0.000000 0
0x376 0 2 0x37 6 426 0x34 18 0x30 3 1 426 1 18 -375.000000 793.856620 50.000000 2.000000 16.000000 0 0 0.000000 0.000000 0.000000 0
0x377 0 2 0x37 4 424 0x34 19 0x30 2 1 427 1 17 -350.000000 750.555350 50.000000 2.000000 15.000000 0 0 0.000000 0.000000 0.000000 0
0x378 0 2 0x37 11 431 0x34 20 0x30 6 2 428 1 18 -225.000000 793.856620 50.000000 5.000000 13.000000 0 0 0.000000 0.000000 0.000000 0
0x379 0 2 0x37 9 429 0x34 21 0x30 2 2 429 1 16 -325.000000 707.254080 50.000000 2.000000 14.000000 0 0 0.000000 0.000000 0.000000 0
0x37a 0 2 0x37 10 430 0x34 22 0x30 6 2 430 1 17 -250.000000 750.555350 50.000000 4.000000 13.000000 0 0 0.000000 0.000000 0.000000 0
0x37b 0 2 0x37 8 428 0x34 23 0x30 2 2 431 1 17 -300.000000 750.555350 50.000000 3.000000 14.000000 0 0 0.000000 0.000000 0.000000 0
0x380 0 2 0x38 3 435 0x35 0 0x30 5 0 432 1 19 -50.000000 837.157890 50.000000 9.000000 10.000000 0 0 0.000000 0.000000 0.000000 0
0x381 0 2 0x38 1 433 0x35 1 0x30 5 0 433 1 18 -25.000000 793.856620 50.000000 9.000000 9.000000 0 0 0.000000 0.000000 0.000000 0
0x382 0 2 0x38 2 434 0x35 2 0x30 5 0 434 1 19 0.000000 837.157890 50.000000 10.000000 9.000000 0 0 0.000000 0.000000 0.000000 0
0x383 0 2 0x38 0 432 0x35 3 0x30 4 0 435 1 18 25.000000 793.856620 50.000000 10.000000 8.000000 0 0 0.000000 0.000000 0.000000 0
0x384 0 2 0x38 7 439 0x35 4 0x30 1 1 436 1 18 -125.000000 793.856620 50.000000 7.000000 11.000000 0 0 0.000000 0.000000 0.000000 0
0x385 0 2 0x38 5 437 0x35 5 0x30 1 1 437 1 17 -100.000000 750.555350 50.000000 7.000000 10.000000 0 0 0.000000 0.000000 0.000000 0
0x386 0 2 0x38 6 438 0x35 6 0x30 1 1 438 1 18 -75.000000 793.856620 50.000000 8.000000 10.000000 0 0 0.000000 0.000000 0.000000 0
0x387 0 2 0x38 4 436 0x35 7 0x30 0 1 439 1 17 -50.000000 750.555350 50.000000 8.000000 9.000000 0 0 0.000000 0.000000 0.000000 0
0x388 0 2 0x38 11 443 0x35 8 0x30 4 2 440 1 18 75.000000 793.856620 50.000000 11.000000 7.000000 0 0 0.000000 0.000000 0.000000 0
0x389 0 2 0x38 9 441 0x35 9 0x30 0 2 441 1 16 -25.000000 707.254080 50.000000 8.000000 8.000000 0 0 0.000000 0.000000 0.000000 0
0x38a 0 2 0x38 10 442 0x35 10 0x30 4 2 442 1 17 50.000000 750.555350 50.000000 10.000000 7.000000 0 0 0.000000 0.000000 0.000000 0
0x38b 0 2 0x38 8 440 0x35 11 0x30 0 2 443 1 17 0.000000 750.555350 50.000000 9.000000 8.000000 0 0 0.000000 0.000000 0.000000 0
0x390 0 2 0x39 3 447 0x35 12 0x30 7 0 444 1 21 -200.000000 923.760431 50.000000 7.000000 14.000000 0 0 0.000000 0.000000 0.000000 0
0x391 0 2 0x39 1 445 0x35 13 0x30 7 0 445 1 20 -175.000000 880.459161 50.000000 7.000000 13.000000 0 0 0.000000 0.000000 0.000000 0
0x392 0 2 0x39 2 446 0x35 14 0x30 7 0 446 1 21 -150.000000 923.760431 50.000000 8.000000 13.000000 0 0 0.000000 0.000000 0.000000 0
0x393 0 2 0x39 0 444 0x35 15 0x30 6 0 447 1 20 -125.000000 880.459161 50.000000 8.000000 12.000000 0 0 0.000000 0.000000 0.000000 0
0x394 0 2 0x39 7 451 0x35 16 0x30 3 1 448 1 20 -275.000000 880.459161 50.000000 5.000000 15.000000 0 0 0.000000 0.000000 0.000000 0
0x395 0 2 0x39 5 449 0x35 17 0x30 3 1 449 1 19 -250.000000 837.157890 50.000000 5.000000 14.000000 0 0 0.000000 0.000000 0.000000 0
0x396 0 2 0x39 6 450 0x35 18 0x30 3 1 450 1 20 -225.000000 880.459161 50.000000 6.000000 14.000000 0 0 0.000000 0.000000 0.000000 0
0x397 0 2 0x39 4 448 0x35 19 0x30 2 1 451 1 19 -200.000000 837.157890 50.000000 6.000000 13.000000 0 0 0.000000 0.000000 0.000000 0
0x398 0 2 0x39 11 455 0x35 20 0x30 6 2 452 1 20 -75.000000 880.459161 50.000000 9.000000 11.000000 0 0 0.000000 0.000000 0.000000 0
0x399 0 2 0x39 9 453 0x35 21 0x30 2 2 453 1 18 -175.000000 793.856620 50.000000 6.000000 12.000000 0 0 0.000000 0.000000 0.000000 0
0x39a 0 2 0x39 10 454 0x35 22 0x30 6 2 454 1 19 -100.000000 837.157890 50.000000 8.000000 11.000000 0 0 0.000000 0.000000 0.000000 0
0x39b 0 2 0x39 8 452 0x35 23 0x30 2 2 455 1 19 -150.000000 837.157890 50.000000 7.000000 12.000000 0 0 0.000000 0.000000 0.000000 0
0x3a0 0 2 0x3a 3 459 0x36 0 0x30 5 0 456 1 21 100.000000 923.760431 50.000000 13.000000 8.000000 0 0 0.000000 0.000000 0.000000 0
0x3a1 0 2 0x3a 1 457 0x36 1 0x30 5 0 457 1 20 125.000000 880.459161 50.000000 13.000000 7.000000 0 0 0.000000 0.000000 0.000000 0
0x3a2 0 2 0x3a 2 458 0x36 2 0x30 5 0 458 1 21 150.000000 923.760431 50.000000 14.000000 7.000000 0 0 0.000000 0.000000 0.000000 0
0x3a3 0 2 0x3a 0 456 0x36 3 0x30 4 0 459 1 20 175.000000 880.459161 50.000000 14.000000 6.000000 0 0 0.000000 0.000000 0.000000 0
0x3a4 0 2 0x3a 7 463 0x36 4 0x30 1 1 460 1 20 25.000000 880.459161 50.000000 11.000000 9.000000 0 0 0.000000 0.000000 0.000000 0
0x3a5 0 2 0x3a 5 461 0x36 5 0x30 1 1 461 1 19 50.000000 837.157890 50.000000 11.000000 8.000000 0 0 0.000000 0.000000 0.000000 0
0x3a6 0 2 0x3a 6 462 0x36 6 0x30 1 1 462 1 20 75.000000 880.459161 50.000000 12.000000 8.000000 0 0 0.000000 0.000000 0.000000 0
0x3a7 0 2 0x3a 4 460 0x36 7 0x30 0 1 463 1 19 100.000000 837.157890 50.000000 12.000000 7.000000 0 0 0.000000 0.000000 0.000000 0
0x3a8 0 2 0x3a 11 467 0x36 8 0x30 4 2 464 1 20 225.000000 880.459161 50.000000 15.000000 5.000000 0 0 0.000000 0.000000 0.000000 0
0x3a9 0 2 0x3a 9 465 0x36 9 0x30 0 2 465 1 18 125.000000 793.856620 50.000000 12.000000 6.000000 0 0 0.000000 0.000000 0.000000 0
0x3aa 0 2 0x3a 10 466 0x36 10 0x30 4 2 466 1 19 200.000000 837.157890 50.000000 14.000000 5.000000 0 0 0.000000 0.000000 0.000000 0
0x3ab 0 2 0x3a 8 464 0x36 11 0x30 0 2 467 1 19 150.000000 837.157890 50.000000 13.000000 6.000000 0 0 0.000000 0.000000 0.000000 0
0x3b0 0 2 0x3b 3 471 0x36 12 0x30 7 0 468 1 23 -50.000000 1010.362971 50.000000 11.000000 12.000000 0 0 0.000000 0.000000 0.000000 0
0x3b1 0 2 0x3b 1 469 0x36 13 0x30 7 0 469 1 22 -25.000000 967.061701 50.000000 11.000000 11.000000 0 0 0.000000 0.000000 0.000000 0
0x3b2 0 2 0x3b 2 470 0x36 14 0x30 7 0 470 1 23 0.000000 1010.362971 50.000000 12.000000 11.000000 0 0 0.000000 0.000000 0.000000 0
0x3b3 0 2 0x3b 0 468 0x36 15 0x30 6 0 471 1 22 25.000000 967.061701 50.000000 12.000000 10.000000 0 0 0.000000 0.000000 0.000000 0
0x3b4 0 2 0x3b 7 475 0x36 16 0x30 3 1 472 1 22 -125.000000 967.061701 50.000000 9.000000 13.000000 0 0 0.000000 0.000000 0.000000 0
0x3b5 0 2 0x3b 5 473 0x36 17 0x30 3 1 473 1 21 -100.000000 923.760431 50.000000 9.000000 12.000000 0 0 0.000000 0.000000 0.000000 0
0x3b6 0 2 0x3b 6 474 0x36 18 0x30 3 1 474 1 22 -75.000000 967.061701 50.000000 10.000000 12.000000 0 0 0.000000 0.000000 0.000000 0
0x3b7 0 2 0x3b 4 472 0x36 19 0x30 2 1 475 1 21 -50.000000 923.760431 50.000000 10.000000 11.000000 0 0 0.000000 0.000000 0.000000 0
0x3b8 0 2 0x3b 11 479 0x36 20 0x30 6 2 476 1 22 75.000000 967.061701 50.000000 13.000000 9.000000 0 0 0.000000 0.000000 0.000000 0
0x3b9 0 2 0x3b 9 477 0x36 21 0x30 2 2 477 1 20 -25.000000 880.459161 50.000000 10.000000 10.000000 0 0 0.000000 0.000000 0.000000 0
0x3ba 0 2 0x3b 10 478 0x36 22 0x30 6 2 478 1 21 50.000000 923.760431 50.000000 12.000000 9.000000 0 0 0.000000 0.000000 0.000000 0
0x3bb 0 2 0x3b 8 476 0x36 23 0x30 2 2 479 1 21 0.000000 923.760431 50.000000 11.000000 10.000000 0 0 0.000000 0.000000 0.000000 0
0x3c0 0 2 0x3c 3 483 0x37 0 0x30 5 0 480 1 23 250.000000 1010.362971 50.000000 17.000000 6.000000 0 0 0.000000 0.000000 0.000000 0
0x3c1 0 2 0x3c 1 481 0x37 1 0x30 5 0 481 1 22 275.000000 967.061701 50.000000 17.000000 5.000000 0 0 0.000000 0.000000 0.000000 0
0x3c2 0 2 0x3c 2 482 0x37 2 0x30 5 0 482 1 23 300.000000 1010.362971 50.000000 18.000000 5.000000 0 0 0.000000 0.000000 0.000000 0
0x3c3 0 2 0x3c 0 480 0x37 3 0x30 4 0 483 1 22 325.000000 967.061701 50.000000 18.000000 4.000000 0 0 0.000000 0.000000 0.000000 0
0x3c4 0 2 0x3c 7 487 0x37 4 0x30 1 1 484 1 22 175.000000 967.061701 50.000000 15.000000 7.000000 0 0 0.000000 0.000000 0.000000 0
0x3c5 0 2 0x3c 5 485 0x37 5 0x30 1 1 485 1 21 200.000000 923.760431 50.000000 15.000000 6.000000 0 0 0.000000 0.000000 0.000000 0
0x3c6 0 2 0x3c 6 486 0x37 6 0x30 1 1 486 1 22 225.000000 967.061701 50.000000 16.000000 6.000000 0 0 0.000000 0.000000 0.000000 0
0x3c7 0 2 0x3c 4 484 0x37 7 0x30 0 1 487 1 21 250.000000 923.760431 50.000000 16.000000 5.000000 0 0 0.000000 0.000000 0.000000 0
0x3c8 0 2 0x3c 11 491 0x37 8 0x30 4 2 488 1 22 375.000000 967.061701 50.000000 19.000000 3.000000 0 0 0.000000 0.000000 0.000000 0
0x3c9 0 2 0x3c 9 489 0x37 9 0x30 0 2 489 1 20 275.000000 880.459161 50.000000 16.000000 4.000000 0 0 0.000000 0.000000 0.000000 0
0x3ca 0 2 0x3c 10 490 0x37 10 0x30 4 2 490 1 21 350.000000 923.760431 50.000000 18.000000 3.000000 0 0 0.000000 0.000000 0.000000 0
0x3cb 0 2 0x3c 8 488 0x37 11 0x30 0 2 491 1 21 300.000000 923.760431 50.000000 17.000000 4.000000 0 0 0.000000 0.000000 0.000000 0
0x3d0 0 2 0x3d 3 495 0x37 12 0x30 7 0 492 1 25 100.000000 1096.965511 50.000000 15.000000 10.000000 0 0 0.000000 0.000000 0.000000 0
0x3d1 0 2 0x3d 1 493 0x37 13 0x30 7 0 493 1 24 125.000000 1053.664241 50.000000 15.000000 9.000000 0 0 0.000000 0.000000 0.000000 0
0x3d2 0 2 0x3d 2 494 0x37 14 0x30 7 0 494 1 25 150.000000 1096.965511 50.000000 16.000000 9.000000 0 0 0.000000 0.000000 0.000000 0
0x3d3 0 2 0x3d 0 492 0x37 15 0x30 6 0 495 1 24 175.000000 1053.664241 50.000000 16.000000 8.000000 0 0 0.000000 0.000000 0.000000 0
0x3d4 0 2 0x3d 7 499 0x37 16 0x30 3 1 496 1 24 25.000000 1053.664241 50.000000 13.000000 11.000000 0 0 0.000000 0.000000 0.000000 0
0x3d5 0 2 0x3d 5 497 0x37 17 0x30 3 1 497 1 23 50.000000 1010.362971 50.000000 13.000000 10.000000 0 0 0.000000 0.000000 0.000000 0
0x3d6 0 2 0x3d 6 498 0x37 18 0x30 3 1 498 1 24 75.000000 1053.664241 50.000000 14.000000 10.000000 0 0 0.000000 0.000000 0.000000 0
0x3d7 0 2 0x3d 4 496 0x37 19 0x30 2 1 499 1 23 100.000000 1010.362971 50.000000 14.000000 9.000000 0 0 0.000000 0.000000 0.000000 0
0x3d8 0 2 0x3d 11 503 0x37 20 0x30 6 2 500 1 24 225.000000 1053.664241 50.000000 17.000000 7.000000 0 0 0.000000 0.000000 0.000000 0
0x3d9 0 2 0x3d 9 501 0x37 21 0x30 2 2 501 1 22 125.000000 967.061701 50.000000 14.000000 8.000000 0 0 0.000000 0.000000 0.000000 0
0x3da 0 2 0x3d 10 502 0x37 22 0x30 6 2 502 1 23 200.000000 1010.362971 50.000000 16.000000 7.000000 0 0 0.000000 0.000000 0.000000 0
0x3db 0 2 0x3d 8 500 0x37 23 0x30 2 2 503 1 23 150.000000 1010.362971 50.000000 15.000000 8.000000 0 0 0.000000 0.000000 0.000000 0
0x400 0 3 0x40 3 507 0x41 0 0x40 5 0 504 1 26 -950.000000 663.952810 50.000000 -11.000000 26.000000 0 0 0.000000 0.000000 0.000000 0
0x401 0 3 0x40 1 505 0x41 1 0x40 5 0 505 1 25 -925.000000 620.651539 50.000000 -11.000000 25.000000 0 0 0.000000 0.000000 0.000000 0
0x402 0 3 0x40 2 506 0x41 2 0x40 5 0 506 1 25 -900.000000 663.952810 50.000000 -10.000000 25.000000 0 0 0.000000 0.000000 0.000000 0
0x403 0 3 0x40 0 504 0x41 3 0x40 4 0 507 1 24 -875.000000 620.651539 50.000000 -10.000000 24.000000 0 0 0.000000 0.000000 0.000000 0
0x404 0 3 0x40 7 511 0x41 4 0x40 1 1 508 1 27 -1025.000000 620.651539 50.000000 -13.000000 27.000000 0 0 0.000000 0.000000 0.000000 0
0x405 0 3 0x40 5 509 0x41 5 0x40 1 1 509 1 26 -1000.000000 577.350269 50.000000 -13.000000 26.000000 0 0 0.000000 0.000000 0.000000 0
0x406 0 3 0x40 6 510 0x41 6 0x40 1 1 510 1 26 -975.000000 620.651539 50.000000 -12.000000 26.000000 0 0 0.000000 0.000000 0.000000 0
0x407 0 3 0x40 4 508 0x41 7 0x40 0 1 511 1 25 -950.000000 577.350269 50.000000 -12.000000 25.000000 0 0 0.000000 0.000000 0.000000 0
0x408 0 3 0x40 11 515 0x41 8 0x40 4 2 512 1 23 -825.000000 620.651539 50.000000 -9.000000 23.000000 0 0 0.000000 0.000000 0.000000 0
0x409 0 3 0x40 9 513 0x41 9 0x40 0 2 513 1 24 -925.000000 534.048999 50.000000 -12.000000 24.000000 0 0 0.000000 0.000000 0.000000 0
