# pixel_no sector_no crate_no pdp_addr pdp_chan pdp_gchan fadc_addr fadc_chan trigger_addr three_pixel_patch four_pixel_patch trace_idx has_pixel ring pixel_x pixel_y pixel_w pixel_q pixel_r pdp_board_rev pixel_dynodes pixel_hv_offset pixel_hv_setpoint pixel_gain_exponent pixel_preamp_gain 
0x130 0 0 0x13 3 39 0x12 12 0x10 7 0 36 1 7 -50.000000 317.542648 50.000000 3.000000 4.000000 0 0 0.000000 0.000000 0.000000 0
0x131 0 0 0x13 1 37 0x12 13 0x10 7 0 37 1 6 -25.000000 274.241378 50.000000 3.000000 3.000000 0 0 0.000000 0.000000 0.000000 0
0x132 0 0 0x13 2 38 0x12 14 0x10 7 0 38 1 7 0.000000 317.542648 50.000000 4.000000 3.000000 0 0 0.000000 0.000000 0.000000 0
0x133 0 0 0x13 0 36 0x12 15 0x10 6 0 39 1 6 25.000000 274.241378 50.000000 4.000000 2.000000 0 0 0.000000 0.000000 0.000000 0
0x134 0 0 0x13 7 43 0x12 16 0x10 3 1 40 1 6 -125.000000 274.241378 50.000000 1.000000 5.000000 0 0 0.000000 0.000000 0.000000 0
0x135 0 0 0x13 5 41 0x12 17 0x10 3 1 41 1 5 -100.000000 230.940108 50.000000 1.000000 4.000000 0 0 0.000000 0.000000 0.000000 0
0x136 0 0 0x13 6 42 0x12 18 0x10 3 1 42 1 6 -75.000000 274.241378 50.000000 2.000000 4.000000 0 0 0.000000 0.000000 0.000000 0
0x137 0 0 0x13 4 40 0x12 19 0x10 2 1 43 1 5 -50.000000 230.940108 50.000000 2.000000 3.000000 0 0 0.000000 0.000000 0.000000 0
0x138 0 0 0x13 11 47 0x12 20 0x10 6 2 44 1 6 75.000000 274.241378 50.000000 5.000000 1.000000 0 0 0.000000 0.000000 0.000000 0
0x139 0 0 0x13 9 45 0x12 21 0x10 2 2 45 1 4 -25.000000 187.638837 50.000000 2.000000 2.000000 0 0 0.000000 0.000000 0.000000 0
0x13a 0 0 0x13 10 46 0x12 22 0x10 6 2 46 1 5 50.000000 230.940108 50.000000 4.000000 1.000000 0 0 0.000000 0.000000 0.000000 0
0x13b 0 0 0x13 8 44 0x12 23 0x10 2 2 47 1 5 0.000000 230.940108 50.000000 3.000000 2.000000 0 0 0.000000 0.000000 0.000000 0
0x140 0 0 0x14 3 51 0x13 0 0x10 5 0 48 1 8 250.000000 317.542648 50.000000 9.000000 -2.000000 0 0 0.000000 0.000000 0.000000 0
0x141 0 0 0x14 1 49 0x13 1 0x10 5 0 49 1 8 275.000000 274.241378 50.000000 9.000000 -3.000000 0 0 0.000000 0.000000 0.000000 0
0x142 0 0 0x14 2 50 0x13 2 0x10 5 0 50 1 9 300.000000 317.542648 50.000000 10.000000 -3.000000 0 0 0.000000 0.000000 0.000000 0
