# patch_no npixels trigger_trace_idx fadc_addr trigger_addr pdp_addr sector_no patch_x patch_y patch_q patch_r pixel_0 pixel_1 pixel_2 neighbours_0 neighbours_1 neighbours_2 neighbours_3 neighbours_4 neighbours_5 
0x374 3 22 0x37 0x30 0x3c 0 350.000000 952.627944 18.333333 3.333333 0x3c3 0x3c8 0x3ca 0x273 0x370 0x277 0x375 0 0 
0x375 3 22 0x37 0x30 0x3c 0 275.000000 995.929214 17.333333 5.333333 0x3c0 0x3c1 0x3c2 0x370 0x371 0x374 0x376 0 0 
0x372 3 22 0x37 0x30 0x3d 0 125.000000 995.929214 14.333333 8.333333 0x3d7 0x3d9 0x3db 0x365 0x366 0x371 0x373 0x376 0x377 
0x373 3 22 0x37 0x30 0x3d 0 50.000000 1039.230485 13.333333 10.333333 0x3d4 0x3d5 0x3d6 0x366 0x367 0x372 0x470 0x377 0x474 
0x376 3 22 0x37 0x30 0x3d 0 200.000000 1039.230485 16.333333 7.333333 0x3d3 0x3d8 0x3da 0x371 0x372 0x375 0x377 0 0 
0x377 3 22 0x37 0x30 0x3d 0 125.000000 1082.531755 15.333333 9.333333 0x3d0 0x3d1 0x3d2 0x372 0x373 0x376 0x474 0 0 
0x410 3 24 0x41 0x40 0x40 0 -925.000000 562.916512 -11.666667 24.333333 0x407 0x409 0x40b 0x970 0x974 0x313 0x411 0x414 0x415 
0x411 3 24 0x41 0x40 0x40 0 -1000.000000 606.217783 -12.666667 26.333333 0x404 0x405 0x406 0x974 0 0x410 0 0x415 0 
0x414 3 24 0x41 0x40 0x40 0 -850.000000 606.217783 -9.666667 23.333333 0x403 0x408 0x40a 0x313 0x410 0x317 0x415 0x420 0x421 
0x415 3 24 0x41 0x40 0x40 0 -925.000000 649.519053 -10.666667 25.333333 0x400 0x401 0x402 0x410 0x411 0x414 0 0x421 0 
0x420 3 25 0x42 0x40 0x42 0 -775.000000 649.519053 -7.666667 22.333333 0x427 0x429 0x42b 0x317 0x414 0x323 0x421 0x424 0x425 
0x421 3 25 0x42 0x40 0x42 0 -850.000000 692.820323 -8.666667 24.333333 0x424 0x425 0x426 0x414 0x415 0x420 0 0x425 0 
0x424 3 25 0x42 0x40 0x42 0 -700.000000 692.820323 -5.666667 21.333333 0x423 0x428 0x42a 0x323 0x420 0x327 0x425 0x430 0x431 
0x425 3 25 0x42 0x40 0x42 0 -775.000000 736.121593 -6.666667 23.333333 0x420 0x421 0x422 0x420 0x421 0x424 0 0x431 0 
0x430 3 26 0x43 0x40 0x44 0 -625.000000 736.121593 -3.666667 20.333333 0x447 0x449 0x44b 0x327 0x424 0x333 0x431 0x434 0x435 
0x431 3 26 0x43 0x40 0x44 0 -700.000000 779.422863 -4.666667 22.333333 0x444 0x445 0x446 0x424 0x425 0x430 0 0x435 0 
0x434 3 26 0x43 0x40 0x44 0 -550.000000 779.422863 -1.666667 19.333333 0x443 0x448 0x44a 0x333 0x430 0x337 0x435 0x440 0x441 
0x435 3 26 0x43 0x40 0x44 0 -625.000000 822.724134 -2.666667 21.333333 0x440 0x441 0x442 0x430 0x431 0x434 0 0x441 0 
0x440 3 27 0x44 0x40 0x46 0 -475.000000 822.724134 0.333333 18.333333 0x467 0x469 0x46b 0x337 0x434 0x343 0x441 0x444 0x445 
0x441 3 27 0x44 0x40 0x46 0 -550.000000 866.025404 -0.666667 20.333333 0x464 0x465 0x466 0x434 0x435 0x440 0 0x445 0 
0x444 3 27 0x44 0x40 0x46 0 -400.000000 866.025404 2.333333 17.333333 0x463 0x468 0x46a 0x343 0x440 0x347 0x445 0x450 0x451 
0x445 3 27 0x44 0x40 0x46 0 -475.000000 909.326674 1.333333 19.333333 0x460 0x461 0x462 0x440 0x441 0x444 0 0x451 0 
0x450 3 28 0x45 0x40 0x48 0 -325.000000 909.326674 4.333333 16.333333 0x487 0x489 0x48b 0x347 0x444 0x353 0x451 0x454 0x455 
0x451 3 28 0x45 0x40 0x48 0 -400.000000 952.627944 3.333333 18.333333 0x484 0x485 0x486 0x444 0x445 0x450 0 0x455 0 
0x454 3 28 0x45 0x40 0x48 0 -250.000000 952.627944 6.333333 15.333333 0x483 0x488 0x48a 0x353 0x450 0x357 0x455 0x460 0x461 
0x455 3 28 0x45 0x40 0x48 0 -325.000000 995.929214 5.333333 17.333333 0x480 0x481 0x482 0x450 0x451 0x454 0 0x461 0 
0x460 3 29 0x46 0x40 0x4a 0 -175.000000 995.929214 8.333333 14.333333 0x4a7 0x4a9 0x4ab 0x357 0x454 0x363 0x461 0x464 0x465 
0x461 3 29 0x46 0x40 0x4a 0 -250.000000 1039.230485 7.333333 16.333333 0x4a4 0x4a5 0x4a6 0x454 0x455 0x460 0 0x465 0 
0x464 3 29 0x46 0x40 0x4a 0 -100.000000 1039.230485 10.333333 13.333333 0x4a3 0x4a8 0x4aa 0x363 0x460 0x367 0x465 0x470 0x471 
0x465 3 29 0x46 0x40 0x4a 0 -175.000000 1082.531755 9.333333 15.333333 0x4a0 0x4a1 0x4a2 0x460 0x461 0x464 0 0x471 0 
0x470 3 30 0x47 0x40 0x4c 0 -25.000000 1082.531755 12.333333 12.333333 0x4c7 0x4c9 0x4cb 0x367 0x464 0x373 0x471 0x474 0x475 
0x471 3 30 0x47 0x40 0x4c 0 -100.000000 1125.833025 11.333333 14.333333 0x4c4 0x4c5 0x4c6 0x464 0x465 0x470 0 0x475 0 
0x474 3 30 0x47 0x40 0x4c 0 50.000000 1125.833025 14.333333 11.333333 0x4c3 0x4c8 0x4ca 0x373 0x470 0x377 0x475 0 0 
0x475 1 30 0x47 0x40 0x4c 0 -25.000000 1169.134295 13.333333 13.333333 0x4c0 0x4c1 0x4c2 0x470 0x471 0x474 0 0 0 
0x510 3 32 0x51 0x50 0x50 1 50.000000 -0.000000 1.333333 -1.666667 0x507 0x509 0x50b 0x514 0x910 0x515 0x110 0x511 0x114 
0x511 3 32 0x51 0x50 0x50 1 125.000000 43.301270 3.333333 -2.666667 0x504 0x505 0x506 0x515 0x510 0x516 0x114 0x512 0x120 
0x514 3 32 0x51 0x50 0x50 1 50.000000 -86.602540 0.333333 -2.666667 0x503 0x508 0x50a 0x520 0x911 0x521 0x910 0x515 0x510 
0x515 3 32 0x51 0x50 0x50 1 125.000000 -43.301270 2.333333 -3.666667 0x500 0x501 0x502 0x521 0x514 0x522 0x510 0x516 0x511 
0x512 3 32 0x51 0x50 0x51 1 200.000000 86.602540 5.333333 -3.666667 0x517 0x519 0x51b 0x516 0x511 0x517 0x120 0x513 0x124 
0x513 3 32 0x51 0x50 0x51 1 275.000000 129.903811 7.333333 -4.666667 0x514 0x515 0x516 0x517 0x512 0x614 0x124 0x610 0x130 
0x516 3 32 0x51 0x50 0x51 1 200.000000 0.000000 4.333333 -4.666667 0x513 0x518 0x51a 0x522 0x515 0x523 0x511 0x517 0x512 
0x517 3 32 0x51 0x50 0x51 1 275.000000 43.301270 6.333333 -5.666667 0x510 0x511 0x512 0x523 0x516 0x620 0x512 0x614 0x513 
0x520 3 33 0x52 0x50 0x52 1 50.000000 -173.205081 -0.666667 -3.666667 0x527 0x529 0x52b 0x524 0x912 0x525 0x911 0x521 0x514 
0x521 3 33 0x52 0x50 0x52 1 125.000000 -129.903811 1.333333 -4.666667 0x524 0x525 0x526 0x525 0x520 0x526 0x514 0x522 0x515 
0x524 3 33 0x52 0x50 0x52 1 50.000000 -259.807621 -1.666667 -4.666667 0x523 0x528 0x52a 0x530 0x913 0x531 0x912 0x525 0x520 
0x525 3 33 0x52 0x50 0x52 1 125.000000 -216.506351 0.333333 -5.666667 0x520 0x521 0x522 0x531 0x524 0x532 0x520 0x526 0x521 
0x522 3 33 0x52 0x50 0x53 1 200.000000 -86.602540 3.333333 -5.666667 0x537 0x539 0x53b 0x526 0x521 0x527 0x515 0x523 0x516 
0x523 3 33 0x52 0x50 0x53 1 275.000000 -43.301270 5.333333 -6.666667 0x534 0x535 0x536 0x527 0x522 0x624 0x516 0x620 0x517 
0x526 3 33 0x52 0x50 0x53 1 200.000000 -173.205081 2.333333 -6.666667 0x533 0x538 0x53a 0x532 0x525 0x533 0x521 0x527 0x522 
0x527 3 33 0x52 0x50 0x53 1 275.000000 -129.903811 4.333333 -7.666667 0x530 0x531 0x532 0x533 0x526 0x630 0x522 0x624 0x523 
0x530 3 34 0x53 0x50 0x54 1 50.000000 -346.410162 -2.666667 -5.666667 0x547 0x549 0x54b 0x534 0xa10 0x535 0x913 0x531 0x524 
0x531 3 34 0x53 0x50 0x54 1 125.000000 -303.108891 -0.666667 -6.666667 0x544 0x545 0x546 0x535 0x530 0x536 0x524 0x532 0x525 
0x534 3 34 0x53 0x50 0x54 1 50.000000 -433.012702 -3.666667 -6.666667 0x543 0x548 0x54a 0x540 0xa11 0x541 0xa10 0x535 0x530 
0x535 3 34 0x53 0x50 0x54 1 125.000000 -389.711432 -1.666667 -7.666667 0x540 0x541 0x542 0x541 0x534 0x542 0x530 0x536 0x531 
0x532 3 34 0x53 0x50 0x55 1 200.000000 -259.807621 1.333333 -7.666667 0x557 0x559 0x55b 0x536 0x531 0x537 0x525 0x533 0x526 
0x533 3 34 0x53 0x50 0x55 1 275.000000 -216.506351 3.333333 -8.666667 0x554 0x555 0x556 0x537 0x532 0x634 0x526 0x630 0x527 
0x536 3 34 0x53 0x50 0x55 1 200.000000 -346.410162 0.333333 -8.666667 0x553 0x558 0x55a 0x542 0x535 0x543 0x531 0x537 0x532 
0x537 3 34 0x53 0x50 0x55 1 275.000000 -303.108891 2.333333 -9.666667 0x550 0x551 0x552 0x543 0x536 0x640 0x532 0x634 0x533 
0x540 3 35 0x54 0x50 0x56 1 50.000000 -519.615242 -4.666667 -7.666667 0x567 0x569 0x56b 0x544 0xa12 0x545 0xa11 0x541 0x534 
0x541 3 35 0x54 0x50 0x56 1 125.000000 -476.313972 -2.666667 -8.666667 0x564 0x565 0x566 0x545 0x540 0x546 0x534 0x542 0x535 
0x544 3 35 0x54 0x50 0x56 1 50.000000 -606.217783 -5.666667 -8.666667 0x563 0x568 0x56a 0x550 0xa13 0x551 0xa12 0x545 0x540 
0x545 3 35 0x54 0x50 0x56 1 125.000000 -562.916512 -3.666667 -9.666667 0x560 0x561 0x562 0x551 0x544 0x552 0x540 0x546 0x541 
0x542 3 35 0x54 0x50 0x57 1 200.000000 -433.012702 -0.666667 -9.666667 0x577 0x579 0x57b 0x546 0x541 0x547 0x535 0x543 0x536 
0x543 3 35 0x54 0x50 0x57 1 275.000000 -389.711432 1.333333 -10.666667 0x574 0x575 0x576 0x547 0x542 0x644 0x536 0x640 0x537 
0x546 3 35 0x54 0x50 0x57 1 200.000000 -519.615242 -1.666667 -10.666667 0x573 0x578 0x57a 0x552 0x545 0x553 0x541 0x547 0x542 
0x547 3 35 0x54 0x50 0x57 1 275.000000 -476.313972 0.333333 -11.666667 0x570 0x571 0x572 0x553 0x546 0x650 0x542 0x644 0x543 
0x550 3 36 0x55 0x50 0x58 1 50.000000 -692.820323 -6.666667 -9.666667 0x587 0x589 0x58b 0x554 0xb10 0x555 0xa13 0x551 0x544 
0x551 3 36 0x55 0x50 0x58 1 125.000000 -649.519053 -4.666667 -10.666667 0x584 0x585 0x586 0x555 0x550 0x556 0x544 0x552 0x545 
0x554 3 36 0x55 0x50 0x58 1 50.000000 -779.422863 -7.666667 -10.666667 0x583 0x588 0x58a 0x560 0xb11 0x561 0xb10 0x555 0x550 
0x555 3 36 0x55 0x50 0x58 1 125.000000 -736.121593 -5.666667 -11.666667 0x580 0x581 0x582 0x561 0x554 0x562 0x550 0x556 0x551 
0x552 3 36 0x55 0x50 0x59 1 200.000000 -606.217783 -2.666667 -11.666667 0x597 0x599 0x59b 0x556 0x551 0x557 0x545 0x553 0x546 
0x553 3 36 0x55 0x50 0x59 1 275.000000 -562.916512 -0.666667 -12.666667 0x594 0x595 0x596 0x557 0x552 0x654 0x546 0x650 0x547 
0x556 3 36 0x55 0x50 0x59 1 200.000000 -692.820323 -3.666667 -12.666667 0x593 0x598 0x59a 0x562 0x555 0x563 0x551 0x557 0x552 
0x557 3 36 0x55 0x50 0x59 1 275.000000 -649.519053 -1.666667 -13.666667 0x590 0x591 0x592 0x563 0x556 0x660 0x552 0x654 0x553 
0x560 3 37 0x56 0x50 0x5a 1 50.000000 -866.025404 -8.666667 -11.666667 0x5a7 0x5a9 0x5ab 0x564 0xb12 0x565 0xb11 0x561 0x554 
0x561 3 37 0x56 0x50 0x5a 1 125.000000 -822.724134 -6.666667 -12.666667 0x5a4 0x5a5 0x5a6 0x565 0x560 0x566 0x554 0x562 0x555 
0x564 3 37 0x56 0x50 0x5a 1 50.000000 -952.627944 -9.666667 -12.666667 0x5a3 0x5a8 0x5aa 0x570 0xb13 0x571 0xb12 0x565 0x560 
0x565 3 37 0x56 0x50 0x5a 1 125.000000 -909.326674 -7.666667 -13.666667 0x5a0 0x5a1 0x5a2 0x571 0x564 0x572 0x560 0x566 0x561 
0x562 3 37 0x56 0x50 0x5b 1 200.000000 -779.422863 -4.666667 -13.666667 0x5b7 0x5b9 0x5bb 0x566 0x561 0x567 0x555 0x563 0x556 
0x563 3 37 0x56 0x50 0x5b 1 275.000000 -736.121593 -2.666667 -14.666667 0x5b4 0x5b5 0x5b6 0x567 0x562 0x664 0x556 0x660 0x557 
0x566 3 37 0x56 0x50 0x5b 1 200.000000 -866.025404 -5.666667 -14.666667 0x5b3 0x5b8 0x5ba 0x572 0x565 0x573 0x561 0x567 0x562 
0x567 3 37 0x56 0x50 0x5b 1 275.000000 -822.724134 -3.666667 -15.666667 0x5b0 0x5b1 0x5b2 0x573 0x566 0x670 0x562 0x664 0x563 
0x570 3 38 0x57 0x50 0x5c 1 50.000000 -1039.230485 -10.666667 -13.666667 0x5c7 0x5c9 0x5cb 0x574 0xc10 0x575 0xb13 0x571 0x564 
0x571 3 38 0x57 0x50 0x5c 1 125.000000 -995.929214 -8.666667 -14.666667 0x5c4 0x5c5 0x5c6 0x575 0x570 0x576 0x564 0x572 0x565 
0x574 3 38 0x57 0x50 0x5c 1 50.000000 -1125.833025 -11.666667 -14.666667 0x5c3 0x5c8 0x5ca 0 0xc11 0 0xc10 0x575 0x570 
0x575 3 38 0x57 0x50 0x5c 1 125.000000 -1082.531755 -9.666667 -15.666667 0x5c0 0x5c1 0x5c2 0 0x574 0 0x570 0x576 0x571 
0x572 3 38 0x57 0x50 0x5d 1 200.000000 -952.627944 -6.666667 -15.666667 0x5d7 0x5d9 0x5db 0x576 0x571 0x577 0x565 0x573 0x566 
0x573 3 38 0x57 0x50 0x5d 1 275.000000 -909.326674 -4.666667 -16.666667 0x5d4 0x5d5 0x5d6 0x577 0x572 0x674 0x566 0x670 0x567 
0x576 3 38 0x57 0x50 0x5d 1 200.000000 -1039.230485 -7.666667 -16.666667 0x5d3 0x5d8 0x5da 0 0x575 0 0x571 0x577 0x572 
0x577 3 38 0x57 0x50 0x5d 1 275.000000 -995.929214 -5.666667 -17.666667 0x5d0 0x5d1 0x5d2 0 0x576 0 0x572 0x674 0x573 
0x610 3 40 0x61 0x60 0x60 1 350.000000 173.205081 9.333333 -5.666667 0x607 0x609 0x60b 0x614 0x513 0x615 0x130 0x611 0x134 
0x611 3 40 0x61 0x60 0x60 1 425.000000 216.506351 11.333333 -6.666667 0x604 0x605 0x606 0x615 0x610 0x616 0x134 0x612 0x140 
0x614 3 40 0x61 0x60 0x60 1 350.000000 86.602540 8.333333 -6.666667 0x603 0x608 0x60a 0x620 0x517 0x621 0x513 0x615 0x610 
0x615 3 40 0x61 0x60 0x60 1 425.000000 129.903811 10.333333 -7.666667 0x600 0x601 0x602 0x621 0x614 0x622 0x610 0x616 0x611 
0x612 3 40 0x61 0x60 0x61 1 500.000000 259.807621 13.333333 -7.666667 0x617 0x619 0x61b 0x616 0x611 0x617 0x140 0x613 0x144 
0x613 3 40 0x61 0x60 0x61 1 575.000000 303.108891 15.333333 -8.666667 0x614 0x615 0x616 0x617 0x612 0x714 0x144 0x710 0x150 
0x616 3 40 0x61 0x60 0x61 1 500.000000 173.205081 12.333333 -8.666667 0x613 0x618 0x61a 0x622 0x615 0x623 0x611 0x617 0x612 
0x617 3 40 0x61 0x60 0x61 1 575.000000 216.506351 14.333333 -9.666667 0x610 0x611 0x612 0x623 0x616 0x720 0x612 0x714 0x613 
0x620 3 41 0x62 0x60 0x62 1 350.000000 0.000000 7.333333 -7.666667 0x627 0x629 0x62b 0x624 0x523 0x625 0x517 0x621 0x614 
0x621 3 41 0x62 0x60 0x62 1 425.000000 43.301270 9.333333 -8.666667 0x624 0x625 0x626 0x625 0x620 0x626 0x614 0x622 0x615 
0x624 3 41 0x62 0x60 0x62 1 350.000000 -86.602540 6.333333 -8.666667 0x623 0x628 0x62a 0x630 0x527 0x631 0x523 0x625 0x620 
0x625 3 41 0x62 0x60 0x62 1 425.000000 -43.301270 8.333333 -9.666667 0x620 0x621 0x622 0x631 0x624 0x632 0x620 0x626 0x621 
0x622 3 41 0x62 0x60 0x63 1 500.000000 86.602540 11.333333 -9.666667 0x637 0x639 0x63b 0x626 0x621 0x627 0x615 0x623 0x616 
0x623 3 41 0x62 0x60 0x63 1 575.000000 129.903811 13.333333 -10.666667 0x634 0x635 0x636 0x627 0x622 0x724 0x616 0x720 0x617 
0x626 3 41 0x62 0x60 0x63 1 500.000000 -0.000000 10.333333 -10.666667 0x633 0x638 0x63a 0x632 0x625 0x633 0x621 0x627 0x622 
0x627 3 41 0x62 0x60 0x63 1 575.000000 43.301270 12.333333 -11.666667 0x630 0x631 0x632 0x633 0x626 0x730 0x622 0x724 0x623 
0x630 3 42 0x63 0x60 0x64 1 350.000000 -173.205081 5.333333 -9.666667 0x647 0x649 0x64b 0x634 0x533 0x635 0x527 0x631 0x624 
0x631 3 42 0x63 0x60 0x64 1 425.000000 -129.903811 7.333333 -10.666667 0x644 0x645 0x646 0x635 0x630 0x636 0x624 0x632 0x625 
0x634 2 42 0x63 0x60 0x64 1 350.000000 -259.807621 4.333333 -10.666667 0x643 0x648 0x64a 0x640 0x537 0x641 0x533 0x635 0x630 
0x635 3 42 0x63 0x60 0x64 1 425.000000 -216.506351 6.333333 -11.666667 0x640 0x641 0x642 0x641 0x634 0x642 0x630 0x636 0x631 
0x632 3 42 0x63 0x60 0x65 1 500.000000 -86.602540 9.333333 -11.666667 0x657 0x659 0x65b 0x636 0x631 0x637 0x625 0x633 0x626 
0x633 3 42 0x63 0x60 0x65 1 575.000000 -43.301270 11.333333 -12.666667 0x654 0x655 0x656 0x637 0x632 0x734 0x626 0x730 0x627 
0x636 3 42 0x63 0x60 0x65 1 500.000000 -173.205081 8.333333 -12.666667 0x653 0x658 0x65a 0x642 0x635 0x643 0x631 0x637 0x632 
0x637 3 42 0x63 0x60 0x65 1 575.000000 -129.903811 10.333333 -13.666667 0x650 0x651 0x652 0x643 0x636 0x740 0x632 0x734 0x633 
0x640 3 43 0x64 0x60 0x66 1 350.000000 -346.410162 3.333333 -11.666667 0x667 0x669 0x66b 0x644 0x543 0x645 0x537 0x641 0x634 
0x641 3 43 0x64 0x60 0x66 1 425.000000 -303.108891 5.333333 -12.666667 0x664 0x665 0x666 0x645 0x640 0x646 0x634 0x642 0x635 
0x644 3 43 0x64 0x60 0x66 1 350.000000 -433.012702 2.333333 -12.666667 0x663 0x668 0x66a 0x650 0x547 0x651 0x543 0x645 0x640 
0x645 3 43 0x64 0x60 0x66 1 425.000000 -389.711432 4.333333 -13.666667 0x660 0x661 0x662 0x651 0x644 0x652 0x640 0x646 0x641 
0x642 3 43 0x64 0x60 0x67 1 500.000000 -259.807621 7.333333 -13.666667 0x677 0x679 0x67b 0x646 0x641 0x647 0x635 0x643 0x636 
0x643 3 43 0x64 0x60 0x67 1 575.000000 -216.506351 9.333333 -14.666667 0x674 0x675 0x676 0x647 0x642 0x744 0x636 0x740 0x637 
0x646 3 43 0x64 0x60 0x67 1 500.000000 -346.410162 6.333333 -14.666667 0x673 0x678 0x67a 0x652 0x645 0x653 0x641 0x647 0x642 
0x647 3 43 0x64 0x60 0x67 1 575.000000 -303.108891 8.333333 -15.666667 0x670 0x671 0x672 0x653 0x646 0x750 0x642 0x744 0x643 
0x650 3 44 0x65 0x60 0x68 1 350.000000 -519.615242 1.333333 -13.666667 0x687 0x689 0x68b 0x654 0x553 0x655 0x547 0x651 0x644 
0x651 3 44 0x65 0x60 0x68 1 425.000000 -476.313972 3.333333 -14.666667 0x684 0x685 0x686 0x655 0x650 0x656 0x644 0x652 0x645 
0x654 3 44 0x65 0x60 0x68 1 350.000000 -606.217783 0.333333 -14.666667 0x683 0x688 0x68a 0x660 0x557 0x661 0x553 0x655 0x650 
0x655 3 44 0x65 0x60 0x68 1 425.000000 -562.916512 2.333333 -15.666667 0x680 0x681 0x682 0x661 0x654 0x662 0x650 0x656 0x651 
0x652 3 44 0x65 0x60 0x69 1 500.000000 -433.012702 5.333333 -15.666667 0x697 0x699 0x69b 0x656 0x651 0x657 0x645 0x653 0x646 
0x653 3 44 0x65 0x60 0x69 1 575.000000 -389.711432 7.333333 -16.666667 0x694 0x695 0x696 0x657 0x652 0x754 0x646 0x750 0x647 
0x656 3 44 0x65 0x60 0x69 1 500.000000 -519.615242 4.333333 -16.666667 0x693 0x698 0x69a 0x662 0x655 0x663 0x651 0x657 0x652 
0x657 3 44 0x65 0x60 0x69 1 575.000000 -476.313972 6.333333 -17.666667 0x690 0x691 0x692 0x663 0x656 0x760 0x652 0x754 0x653 
0x660 3 45 0x66 0x60 0x6a 1 350.000000 -692.820323 -0.666667 -15.666667 0x6a7 0x6a9 0x6ab 0x664 0x563 0x665 0x557 0x661 0x654 
0x661 3 45 0x66 0x60 0x6a 1 425.000000 -649.519053 1.333333 -16.666667 0x6a4 0x6a5 0x6a6 0x665 0x660 0x666 0x654 0x662 0x655 
0x664 3 45 0x66 0x60 0x6a 1 350.000000 -779.422863 -1.666667 -16.666667 0x6a3 0x6a8 0x6aa 0x670 0x567 0x671 0x563 0x665 0x660 
0x665 3 45 0x66 0x60 0x6a 1 425.000000 -736.121593 0.333333 -17.666667 0x6a0 0x6a1 0x6a2 0x671 0x664 0x672 0x660 0x666 0x661 
0x662 3 45 0x66 0x60 0x6b 1 500.000000 -606.217783 3.333333 -17.666667 0x6b7 0x6b9 0x6bb 0x666 0x661 0x667 0x655 0x663 0x656 
0x663 3 45 0x66 0x60 0x6b 1 575.000000 -562.916512 5.333333 -18.666667 0x6b4 0x6b5 0x6b6 0x667 0x662 0x764 0x656 0x760 0x657 
0x666 3 45 0x66 0x60 0x6b 1 500.000000 -692.820323 2.333333 -18.666667 0x6b3 0x6b8 0x6ba 0x672 0x665 0x673 0x661 0x667 0x662 
0x667 3 45 0x66 0x60 0x6b 1 575.000000 -649.519053 4.333333 -19.666667 0x6b0 0x6b1 0x6b2 0x673 0x666 0x770 0x662 0x764 0x663 
0x670 3 46 0x67 0x60 0x6c 1 350.000000 -866.025404 -2.666667 -17.666667 0x6c7 0x6c9 0x6cb 0x674 0x573 0x675 0x567 0x671 0x664 
0x671 3 46 0x67 0x60 0x6c 1 425.000000 -822.724134 -0.666667 -18.666667 0x6c4 0x6c5 0x6c6 0x675 0x670 0x676 0x664 0x672 0x665 
0x674 3 46 0x67 0x60 0x6c 1 350.000000 -952.627944 -3.666667 -18.666667 0x6c3 0x6c8 0x6ca 0 0x577 0 0x573 0x675 0x670 
0x675 3 46 0x67 0x60 0x6c 1 425.000000 -909.326674 -1.666667 -19.666667 0x6c0 0x6c1 0x6c2 0 0x674 0 0x670 0x676 0x671 
0x672 3 46 0x67 0x60 0x6d 1 500.000000 -779.422863 1.333333 -19.666667 0x6d7 0x6d9 0x6db 0x676 0x671 0x677 0x665 0x673 0x666 
0x673 3 46 0x67 0x60 0x6d 1 575.000000 -736.121593 3.333333 -20.666667 0x6d4 0x6d5 0x6d6 0x677 0x672 0x774 0x666 0x770 0x667 
0x676 3 46 0x67 0x60 0x6d 1 500.000000 -866.025404 0.333333 -20.666667 0x6d3 0x6d8 0x6da 0 0x675 0 0x671 0x677 0x672 
0x677 3 46 0x67 0x60 0x6d 1 575.000000 -822.724134 2.333333 -21.666667 0x6d0 0x6d1 0x6d2 0 0x676 0 0x672 0x774 0x673 
0x710 3 48 0x71 0x70 0x70 1 650.000000 346.410162 17.333333 -9.666667 0x707 0x709 0x70b 0x714 0x613 0x715 0x150 0x711 0x154 
0x711 3 48 0x71 0x70 0x70 1 725.000000 389.711432 19.333333 -10.666667 0x704 0x705 0x706 0x715 0x710 0x716 0x154 0x712 0x160 
0x714 3 48 0x71 0x70 0x70 1 650.000000 259.807621 16.333333 -10.666667 0x703 0x708 0x70a 0x720 0x617 0x721 0x613 0x715 0x710 
0x715 3 48 0x71 0x70 0x70 1 725.000000 303.108891 18.333333 -11.666667 0x700 0x701 0x702 0x721 0x714 0x722 0x710 0x716 0x711 
0x712 3 48 0x71 0x70 0x71 1 800.000000 433.012702 21.333333 -11.666667 0x717 0x719 0x71b 0x716 0x711 0x717 0x160 0x713 0x164 
0x713 3 48 0x71 0x70 0x71 1 875.000000 476.313972 23.333333 -12.666667 0x714 0x715 0x716 0x717 0x712 0x814 0x164 0x810 0x170 
0x716 3 48 0x71 0x70 0x71 1 800.000000 346.410162 20.333333 -12.666667 0x713 0x718 0x71a 0x722 0x715 0x723 0x711 0x717 0x712 
0x717 3 48 0x71 0x70 0x71 1 875.000000 389.711432 22.333333 -13.666667 0x710 0x711 0x712 0x723 0x716 0x820 0x712 0x814 0x713 
0x720 3 49 0x72 0x70 0x72 1 650.000000 173.205081 15.333333 -11.666667 0x727 0x729 0x72b 0x724 0x623 0x725 0x617 0x721 0x714 
0x721 3 49 0x72 0x70 0x72 1 725.000000 216.506351 17.333333 -12.666667 0x724 0x725 0x726 0x725 0x720 0x726 0x714 0x722 0x715 
0x724 3 49 0x72 0x70 0x72 1 650.000000 86.602540 14.333333 -12.666667 0x723 0x728 0x72a 0x730 0x627 0x731 0x623 0x725 0x720 
0x725 3 49 0x72 0x70 0x72 1 725.000000 129.903811 16.333333 -13.666667 0x720 0x721 0x722 0x731 0x724 0x732 0x720 0x726 0x721 
0x722 3 49 0x72 0x70 0x73 1 800.000000 259.807621 19.333333 -13.666667 0x737 0x739 0x73b 0x726 0x721 0x727 0x715 0x723 0x716 
0x723 3 49 0x72 0x70 0x73 1 875.000000 303.108891 21.333333 -14.666667 0x734 0x735 0x736 0x727 0x722 0x824 0x716 0x820 0x717 
0x726 3 49 0x72 0x70 0x73 1 800.000000 173.205081 18.333333 -14.666667 0x733 0x738 0x73a 0x732 0x725 0x733 0x721 0x727 0x722 
0x727 3 49 0x72 0x70 0x73 1 875.000000 216.506351 20.333333 -15.666667 0x730 0x731 0x732 0x733 0x726 0x830 0x722 0x824 0x723 
0x730 3 50 0x73 0x70 0x74 1 650.000000 -0.000000 13.333333 -13.666667 0x747 0x749 0x74b 0x734 0x633 0x735 0x627 0x731 0x724 
0x731 3 50 0x73 0x70 0x74 1 725.000000 43.301270 15.333333 -14.666667 0x744 0x745 0x746 0x735 0x730 0x736 0x724 0x732 0x725 
0x734 3 50 0x73 0x70 0x74 1 650.000000 -86.602540 12.333333 -14.666667 0x743 0x748 0x74a 0x740 0x637 0x741 0x633 0x735 0x730 
0x735 3 50 0x73 0x70 0x74 1 725.000000 -43.301270 14.333333 -15.666667 0x740 0x741 0x742 0x741 0x734 0x742 0x730 0x736 0x731 
0x732 3 50 0x73 0x70 0x75 1 800.000000 86.602540 17.333333 -15.666667 0x757 0x759 0x75b 0x736 0x731 0x737 0x725 0x733 0x726 
0x733 3 50 0x73 0x70 0x75 1 875.000000 129.903811 19.333333 -16.666667 0x754 0x755 0x756 0x737 0x732 0x834 0x726 0x830 0x727 
